IS,ID
0.03733,0.04533
0.10130,0.06133
0.25070,0.04800
0.18130,0.06667
0.14670,0.16530
0.05333,0.13070
0.05867,0.12530
0.07733,0.05867
0.10930,0.04000
0.24800,0.26130
0.09333,0.73900
0.13600,0.43730
0.14670,0.34400
0.39200,
0.46930,
1.14350,
0.23200,
1.25630,
0.13870,
,
,
0.92340,0.25390
0.04987,0.03513
0.27200,0.17000
0.05100,0.06007
0.06460,0.23570
0.03400,0.12920
0.11900,0.02833
0.26520,0.05327
0.44770,0.07480
0.12610,1.49600
0.17080,0.10540
0.05213,0.09293
0.32870,0.57460
0.09520,0.12350
0.85440,
0.06347,
0.20400,
0.23690,
